language,include,category,item,species,area,nature,exotic,simp,script,term,script alt,term alt,IPA,status,ety,literal,meaning,remark,notes,first,ambiguous,source page,source zotero,source human,source link,conventionalized,dict page,dictionary,dict link,wiktionary,date,century,period,based on,att page,attested,att,att link,CQL,warning,historic,per m H,tenten,per m C,bdb,etymology,quote,historical corpus,analyzability,structure,element,borrowing,how,type,has prototype,is prototype,modifier tr,head tr,specifying word tr,modifier,headword,specifier,modifier type,modifier type revised,modifier similarity,sensory,headword type,headword similarity,mechanism
English,yes,allspice,allspice,Pimenta dioica,America,spice; plant,yes,,,allspice,,,,default,done,,,,misleading name; many people think it's a mixture of various spices (spice blend),material,no,,van_wyk_culinary_2014,OED,,yes,allspice,OED,https://www.oed.com/view/Entry/5494?,,1621,17,,OED,,,,,,,,,9766,,,"< all pron. and n. + spice n., so called because it has been supposed to combine the flavour and aroma of other commonly used spices, especially cinnamon, nutmeg, cloves, and black pepper.","R. Burton Anat. Melancholy ii. iv. i. iii. 440   Ambergreese, nutmegs, and all spice.",,analyzable,compound,2.0,no,,modified,yes,,all,spice,,all,spice,,similarity in taste,descriptive,chemical,gustatory,function,,innovation
English,yes,allspice,allspice,Pimenta dioica,America,,,,,newspice,,,,alternative,,,,,"European inspiration, cf. Italian Nuova Spezie by 1680 in Baretti (1755); new spice, because it comes from the New World",,no,,peter_handbook_2012,"Peter, 2012",https://www.google.com/search?q=%22new+spice%22&lr=lang_en&sxsrf=APq-WBvr9HFyMXy7dvyFG2ukubNoZ3kdpg%3A1650892931798&source=lnt&tbs=lr%3Alang_1en%2Ccdr%3A1%2Ccd_min%3A1%2F1%2F1500%2Ccd_max%3A12%2F31%2F1755&tbm=bks,,,,https://books.google.com.hk/books?id=VRWkAgAAQBAJ&pg=PA118&dq=%22newspice%22&hl=en&sa=X&ved=2ahUKEwjkx43npq_3AhX4mFYBHaslCmEQ6AF6BAgDEAI#v=onepage&q=%22newspice%22&f=false,,1708,18,,,,,,,,,,,9766,,,,[…] one Ounce of Ginger and new Spice together: Mix these all together […],,analyzable,compound,2.0,maybe,calque,modified,yes,,new,spice,,new,spice,,geographic origin,geographic origin,,,function,,
English,yes,allspice,allspice,Pimenta dioica,America,,,,,clove pepper,,,,alternative,,,,,cf. Hungarian,,no,,duke_crc_2002,"Duke, 2002",,no,,,,,,,,,,,,,,,,,26,,,,,,analyzable,compound,2.0,no,,modified,yes,,clove,pepper,,clove,pepper,,similarity in taste,prototype similarity,chemical,gustatory,prototype similarity,physical; chemical; functional,
English,yes,allspice,allspice,Pimenta dioica,America,,,,,Jamaica pepper,,,,alternative,,,,,sometimes Jamaican pepper,,no,,van_wyk_culinary_2014,OED,,yes,,OED,https://www.oed.com/view/Entry/100688?redirectedFrom=jamaica+pepper#eid132604245,,1661,17,,,,,,,,,,,!121,,,,"E. Hickeringill Jamaica 12   A kind of Pepper, that tastes like Cloves, and very Aromatick (known by the name of Iamaica-Pepper).",,analyzable,compound,2.0,no,,modified,yes,,Jamaica,pepper,,Jamaica,pepper,,geographic origin,geographic origin,,,prototype similarity,physical; chemical; functional,
English,yes,allspice,allspice,Pimenta dioica,America,,,,,myrtle pepper,,,,alternative,,,,,"physical resemblence, similar roles; Resembles the berries of the common myrtle shrub (Myrtus communis)",,no,,peter_handbook_2012,"Peter, 2012",,no,,,https://books.google.com.hk/books?id=VRWkAgAAQBAJ&pg=PA118&dq=%22newspice%22&hl=en&sa=X&ved=2ahUKEwjkx43npq_3AhX4mFYBHaslCmEQ6AF6BAgDEAI#v=onepage&q=%22newspice%22&f=false,,,,,,,,,,,,,,139,,,,,,analyzable,compound,2.0,no,,modified,yes,,myrtle,pepper,,myrtle,pepper,,similarity in botany and function,prototype similarity,physical; functional,,prototype similarity,physical; chemical; functional,
English,yes,allspice,allspice,Pimenta dioica,America,,,,,pimento berry,,,,alternative,,,,,,,no,,,OED,,yes,,OED,https://www.oed.com/view/Entry/143999?redirectedFrom=pimento+berry#eid30217697,,1788,18,,,,,,,,,,,79,,,,"D. Monro Treat. Med. & Pharmaceut. Chym. III. 372   Take of pimento berries (Jamaica pepper), half a pound.",,analyzable,compound,2.0,no,,modified,yes,,,pimento,berry,,pimento,berry,plant part,plant part,,,prototype,,
English,yes,allspice,allspice,Pimenta dioica,America,,,,,pimento,,,,alternative,done,,,,now chiefly Caribbean; also sweet (esp. red) pepper,,yes,,van_wyk_culinary_2014,OED,,yes,,OED,https://www.oed.com/view/Entry/143999#eid30217266,,c1660,17,,,,,,,,,,,!10,,,,State of Jamaica f. 611   Piemente growes plentifully in Mountaines and is a Spice of the forme of East India pepper of very curious gust haveing in it the mixt tast of diuers spices.,,unanalyzable,simple,1.0,yes,phonetic,basic,no,,,pimento,,,pimento,,,,,,,,
English,yes,allspice,allspice,Pimenta dioica,America,,,,,pimiento,,,,alternative,,,,,also sweet (esp. red) pepper,,yes,,,OED,,yes,,OED,https://www.oed.com/view/Entry/144002#eid30219474,,1662,,,,,,,,,,,,!6886,,,,"H. Stubbe Indian Nectar 47   That most delicate of Spices, call'd usually in England Pepper of Jamaica... It is commonly called in Jamaica, Pimienta.",,unanalyzable,simple,1.0,yes,phonetic,basic,no,,,pimiento,,,pimiento,,,,,,,,
English,yes,allspice,allspice,Pimenta dioica,America,,,,,pepper cloves,,,,alternative,,,,,,,yes,,james_pimento_2022,"James, 2022",http://www.webbjames.com/spices/pimento/,no,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2.0,no,,modified,yes,,pepper,cloves,,pepper,cloves,,similarity,prototype similarity,physical,,prototype similarity,chemical,
Chinese,yes,allspice,allspice,Pimenta dioica,America,,,多香果,多香果,duōxiāngguǒ,,,,default,done,many-spice-fruit,,semantic translation?,,,,,,"Kleeman, 2010",,yes,,kleeman_oxford_2010,,https://en.wiktionary.org/wiki/%E5%A4%9A%E9%A6%99%E6%9E%9C,1953,20,Modern,Books,,,,https://books.google.com.hk/books?id=IltEAAAAYAAJ&q=%22%E5%A4%9A%E9%A6%99%E6%9E%9C%22&dq=%22%E5%A4%9A%E9%A6%99%E6%9E%9C%22&hl=en&sa=X&ved=2ahUKEwiGuqCHmZb5AhXGqFYBHUweBwEQ6AF6BAgHEAI,,,,,,,,,,,analyzable,compound,3.0,no,,modified,yes,,duō,xiāng,guǒ,many,spice,fruit,descriptive,descriptive,,,function,,
