name;description;origin;see also
Acuyo; fruit of Piper sanctum;Central America;
African bdellium; see Opopanax;;
African cubebs; see Ashanti pepper;;
agaru; see Aloeswood;;
Ajowan, ammi, *black cumin, 'Ethiopian cumin', omum; seed of Trachyspermum ammi;Near East;
Alkanet; juice of Anchusa officinalis;Near East;
Allspice, Jamaica pepper, *pimento; fruit of Pimenta dioica;Caribbean;See also Wild allspice
Aloe vera; juice of Aloe barbadensis;Arabia;
Aloes; juice of Aloe perryi;Arabia;
Aloeswood, agaru, eaglewood, gharroowood; diseased wood of Aquilaria malaccensis and A. sinensis;south-east Asia;
Amber; fossilized resin;northern Europe and elsewhere;"See also Ambergris; Ladanum"
Ambergris, 'amber'; secretion of Physeter macrocephalus;Indian Ocean;
Ambrette, musk mallow; fruit of Abelmoschus moschatus;southern Asia;
American ginseng; root of Panax quinquefolius;North America;
American storax, American sweet gum; see Sweet gum;;
ammi; see Ajowan;;
'Amomum' in Classical texts; possibly Nepaul cardamom and Bengal cardamom;;
ancho; see Chilli;;
Anise; pimpinella anisum;Asia Minor;See also Star anise
Annatto; juice of Bixa orellana;Central America;
apple chilli; see Rocoto;;
Arabica coffee; see Coffee;;
Areca nut, betel nut; Areca catechu;southeast;
Asafoetida, hing; resin of Ferula assa-foetida and F. foetida;central Asia;
Attar of roses;" oil of Rosa centifolia (cabbage rose); Rosa damascena (damask rose)";Near East;
baies roses; see Pink peppercorns;;
Balm of Gilead; resin of Populus candicans;North America;See also Balsam of Mecca
balsam;" see also Siam benzoin; Sweet gum";;
Balsam of Copaiba; resin of Copaifera langsdorffii;South America;
Balsam of Mecca, 'balm of Gilead'; resin of Commiphora opobalsamum;Arabia;
Balsam of Peru; resin of Myroxylon balsamum var. pereirae;El Salvador;
Balsam of Tolu; resin of Myroxylon balsamum;South America;
Bastard cardamom; fruit of Amomum xanthioides and other species;southeast Asia;
Batavia cinnamon; see Padang cinnamon;;
Bay rum tree, West Indian bay, oil of bay; Pimenta acris;Caribbean;
bdellium;" see Gum guggul; Opopanax";;
Bengal cardamom; fruit of Amomum aromaticum;eastern Himalayas;
Benin pepper, *Guinea pepper, West African pepper; fruit of Piper guineense;Nigeria;
benzoin;" see Siam benzoin; Sumatra benzoin";;
Betel leaf; Piper betle;south-east Asia;
betel nut; see Areca nut;;
bilsted; see Sweet gum;;
bissabol; see Opopanax;;
black cumin;" see Ajowan; Nigella";;
black pepper; see Pepper;;
Bombay mastic, Turk terebinth; Pistacia mutica;Middle East;
Borneo camphor; See Camphor of Baros;;
Brazilwood; Haematoxylon brasiletto and other species;Central and South America;See also Sappanwood
brea; see Elemi;;
'Calamus', 'sweet reed', 'scented cane' in Biblical and Classical translations; possibly lemon grass or ginger-grass;;
Californian pepper; see Pink peppercorns;;
Cambodian cardamom; fruit of Amomum krervanh;Indochina;
Cameroon cardamom; fruit of Aframomum hanburyi;central Africa;
Camphor of Baros, Borneo camphor; crystallized resin of Dryobalanops aromatica;Indonesia;
