name;description;origin;see also
Acuyo; fruit of Piper sanctum;Central America;
Ajowan, ammi, *black cumin, 'Ethiopian cumin', omum; seed of Trachyspermum ammi;Near East;
Alkanet; juice of Anchusa officinalis;Near East;
Allspice, Jamaica pepper, *pimento; fruit of Pimenta dioica;Caribbean;See also Wild allspice
Aloe vera; juice of Aloe barbadensis;Arabia;
Aloes; juice of Aloe perryi;Arabia;
Aloeswood, agaru, eaglewood, gharroowood; diseased wood of Aquilaria malaccensis and A. sinensis;south-east Asia;
Amber; fossilized resin;northern Europe and elsewhere;"See also Ambergris; Ladanum"
Ambergris, 'amber'; secretion of Physeter macrocephalus;Indian Ocean;
Ambrette, musk mallow; fruit of Abelmoschus moschatus;southern Asia;
American ginseng; root of Panax quinquefolius;North America;
'Amomum' in Classical texts; possibly Nepaul cardamom and Bengal cardamom;;
Anise; pimpinella anisum;Asia Minor;See also Star anise
Annatto; juice of Bixa orellana;Central America;
Areca nut, betel nut; Areca catechu;southeast;
Asafoetida, hing; resin of Ferula assa-foetida and F. foetida;central Asia;
Attar of roses;" oil of Rosa centifolia (cabbage rose); Rosa damascena (damask rose)";Near East;
Balm of Gilead; resin of Populus candicans;North America;See also Balsam of Mecca
balsam;" see also Siam benzoin; Sweet gum";;
Balsam of Copaiba; resin of Copaifera langsdorffii;South America;
Balsam of Mecca, 'balm of Gilead'; resin of Commiphora opobalsamum;Arabia;
Balsam of Peru; resin of Myroxylon balsamum var. pereirae;El Salvador;
Balsam of Tolu; resin of Myroxylon balsamum;South America;
Bastard cardamom; fruit of Amomum xanthioides and other species;southeast Asia;
Bay rum tree, West Indian bay, oil of bay; Pimenta acris;Caribbean;
Bengal cardamom; fruit of Amomum aromaticum;eastern Himalayas;
Benin pepper, *Guinea pepper, West African pepper; fruit of Piper guineense;Nigeria;
Betel leaf; Piper betle;south-east Asia;
Bombay mastic, Turk terebinth; Pistacia mutica;Middle East;
Brazilwood; Haematoxylon brasiletto and other species;Central and South America;See also Sappanwood
'Calamus', 'sweet reed', 'scented cane' in Biblical and Classical translations; possibly lemon grass or ginger-grass;;
Cambodian cardamom; fruit of Amomum krervanh;Indochina;
Cameroon cardamom; fruit of Aframomum hanburyi;central Africa;
Camphor of Baros, Borneo camphor; crystallized resin of Dryobalanops aromatica;Indonesia;
Camphor, Chinese camphor; crystallized resin of Cinnamomum camphora;China;
Candy carrot; seed of Athamanta cretensis;Crete;
Canela;" Ocotea sassafras; Ocotea usambarensis";"Brazil; east Africa";
Canella, white cinnamon; Canella winterana;Caribbean;
Cannabis, hemp, ganja; Cannabis sativa;eastern Europe;
Carap, white crabwood; Carapa guianensis;Central and South America;
Caraway; seed of Carum carvi;central Europe;
Cardamom; fruit of Elettaria cardamomum;southern Asia;"See also Bastard cardamom; Bengal cardamom; Cambodian cardamom; Cameroon cardamom; Ethiopian cardamom; Kepulaga; Madagascar cardamom; Nepaul cardamom"
Castoreum; secretion of Castor fiber;Europe and Asia;
Cekur, kencur; root of Kaempferia galanga;India;
'Celtic nard'; probably Valeriana celtica;southern Europe;
Chilli, ancho, Cayenne pepper, chile pepper, jalapeño, paprika, *pepper, *pimento, red pepper; fruit of Capsicum annuum;Central America;See also Rocoto, Scotch bonnet, Tabasco pepper, Uchu, Ulupica
China root, Chinese sarsaparilla; Smilax pseudo-china;eastern Asia;
Chinese cardamom; fruit of Amomum globosum;China;
Chinese cinnamon, cassia;" bark of Cinnamomum cassia; C. chekiangense and other species";China;
Chinese pepper, *fagara; fruit of Zanthoxylum armatum;Zanthoxylum planispinum and other species, China;
Chocolate; seed of Theobroma Cacao;Central America;See also Nicaragua chocolate
Cinnamon, Ceylon cinnamon; bark of Cinnamomum zeylanicum;Sri Lanka;"See also Canela; Canella; Chinese cinnamon; Padang cinnamon: Saigon cinnamon"
Citronella oil, nard grass; Cymbopogon nardus and C. winterianus;southern Asia;
Civet; secretion of Viverra civetta and other species;Africa and Asia;
Cloves; bud of Syzygium aromaticum;northern Moluccas;
Coca; leaf of Erythroxylum coca and E. novogranatense;South America;
Cochineal; Dactyiopus coccus;Central America;
Coffee, Arabica coffee; seed of Coffea arabica;north-east Africa;See also Robusta coffee
Coriander, cilantro; fruit of Coriandrum sativum;eastern Mediterranean;
Costmary; leaf of Tanacetum balsamina;perhaps Near East;
Cubebs; fruit of Piper cubeba;Indonesia;See also Ashanti pepper
Cumin; seed of Cuminum cyminum;southern Europe;
Cyprus balm, *Chios balm, tsikoudia; resin of Pistacia atlantica;Mediterranean lands;
Dragon's blood;" juice of Dracaena cinnabari; D. schizantha and D. draco";north-east Africa, Socotra and Canary Islands;
Elecampane; leaf of Inula helenium;Europe;
Elemi, brea, Manila resin;" Canarium luzonicum; C. commune and other species";Malay archipelago;
Ethiopian cardamom, Korarima cardamom; fruit of Aframomum korarima;Ethiopia;
Frankincense, olibanum;" resin of Boswellia carterii; B. frereana and B. sacra";Arabia and north-east Africa;
Galbanum; resin of Ferula galbaniflua;Iran;
Giant fennel; Ferula communis;north Africa;
Ginger; root of Zingiber officinale;China;See also Wild ginger
Ginger-grass; root of Cymbopogon schoenanthus;south-west Asia;
Ginseng; root of Panax ginseng and P. pseudoginseng;northern Asia;"See also American ginseng; Sanchi ginseng"
Gorka; fruit of Garcinia pictoria;south-east Asia;
Grains of Paradise, Guinea grains, *Guinea pepper, *Melegueta pepper; fruit of Aframomum melegueta;west Africa;
Grains of Selim, Ethiopian pepper, habzeli, kimba pepper, xylopia; fruit of Xylopia aethiopica;Africa;
Greater galanga, galanga, laos, lengkuas; root of Alpinia galanga;south-east Asia;
Guaiacum; resin of Guaiacum offlcinale;Caribbean;
Gum ammoniac; juice of Dorema ammoniacum;Near East;
Gum arabic, Egyptian thorn; Acacia nilotica;Red Sea shores;
Gum guggul, bdellium; resin of Commiphora mukul;Sind;
Gum tragacanth; resin of Astragalus gummifer;and other species, southwest Asia;
Gumbo-limbo resin; Bursera simaruba;Caribbean;
Horseradish; root of Armoracia rusticana;northern Eurasia;
Hypocistis; juice of Cytinus hypocistis;Europe;
Japanese pepper, *fagara; fruit of Zanthoxylum piperitum;Japan;
"Japanese star anise; shikimi"; fruit of Illicium anisatum;Japan;
Jasmine; flower of ]asminum officinale;central Asia;See also Sambac
Java long pepper; fruit of Piper retrofractum;Indonesia;
Juniper berry; Juniperus communis;and other species, Eurasia;
Kao-liang ginger; Alpinia kumatake;China;
Karanda; fruit of Carissa carandas;India;
Kava; Piper methysticum;Pacific islands;
Kepulaga, round cardamom, Siam cardamom; fruit of Amomum compactum;Indonesia;
Ladanum, *amber; resin of Cistus ladaniferus;Arabia;
Lakawood; Dalbergia parviflora;southern Asia;
Lemon grass; root of Cymbopogon citratus;southern Asia;
Lentisk, shina oil; Pistacia lentiscus;Near East;
Lesser galanga, galanga; root of Alpinia officinarum;China;
Licorice; root of Glycyrrhiza glabra;Russia;See also Wild licorice
Liquid storax, Levant storax; resin of Liquidambar orientalis;Near East;
Long pepper; fruit of Piper longum;India;See also Java long pepper
Madagascar cardamom; fruit of Aframomum angustifolium;Madagascar;
Mastic; resin of Pistacia lentiscμs var. chia;Greece;"See also Bombay mastic; Peruvian mastic"
Mechoacan; root of Ipomoea jalapa;Central America;
Mioga ginger; shoots of Zingiber mioga;China;
Musk; secretion of Moschus moschiferus;and other species, Asia;
Mustard;" seed of Brassica hirta; B. juncea and B. nigra";Eurasia;
Myrrh; resin of Commiphora myrrha and other species;Arabia and north-east Africa;See also Opopanax
Myrtle; fruit of Myrtus communis;southern Europe;
Nepaul cardamom, greater cardamom; fruit of Amomum subulatum;Himalayas;
Nicaragua chocolate, pataxte, Peru cacao; seed of Theobroma bicolor;Central America;
Nigella, gith, *black cumin, *onion seed; seed of Nigella sativa;Near East;
Nutmeg, mace; fruit of Myristica fragrans;Banda islands;
Opopanax, African bdellium, bissabol, false myrrh; resin of Commiphora erythraea and C. kataf;north-east Africa and Arabia;
Orris, iris root; Iris germanica var. florentina and other species;Europe;
Padang cinnamon, Batavia cinnamon, Java cinnamon; bark of Cinnamomum burmannii;Indonesia;
Palmarosa oil, rosha grass; root of Cymbopogon martini;southern Asia;
Panama wood; Quillaja saponaria;South America;
Pandanus, screwpine; leaf of Pandanus tectorius;southern Asia;
Patchouli; essential oil of Pogostemon cablin;south-east Asia;
pepper; fruit of Piper clusii;west Africa;
Pepper, black pepper, white pepper; fruit of Piper nigrum;lndia;"See also Allspice; Ashanti pepper; Benin pepper Chilli; Chinese pepper; Grains of Selim; Japanese pepper; Java long pepper; Long pepper; Melegueta pepper; Pink peppercorns; Scotch bonnet; Sichuan pepper; Tabasco pepper; Uchu"
Peruvian pepper, California pepper; fruit of Schinus molle;Peru;See also Uchu
Pine kernel; seed of Pinus pinea;Europe;
Pink peppercorns, red peppercorns, baies roses, Brazilian pepper; fruit of Schinus terebinthif olius;Brazil;
Poppy seed, opium; Papaver somniferum;Europe;
Putchuk, costus, kushth; root of Saussurea lappa;Kashmir;
Red sanders; wood of Pterocarpus santalina;India;
Rhinoceros horn, 'horns of abath'; Rhinoceros spp.;southern Asia;
Rhubarb root, Canton rhubarb; Rheum officinale;Tibet;
Robusta coffee; seed of Coffea canephora;?;
Rocoto, locoto, apple chilli; fruit of Capsicum pubescens;high Andes;
Rose-mallows; wood of Altingia excelsa;south-east Asia;
safflower; Carthamus tinctorius;Asia or Europe;
Saffron; stamen of Crocus sativus;Near East;
Sagapenum; resin of Ferula persica;Iran;
Saigon cinnamon, cassia, nikkel oil; Cinnamomum loureirii;Indochina;
Salep;" root of Orchis morio; O. latifolia and other species";Near East;
Sambac, zambac; flower of Jasminum sambac;south-west Asia;
