,en,zh,pinyin,jyutping,pharmaceutical,med_group,source,meridian,action
0,Abalone Shell,石決明,shíjuémíng,sek6 kyut3 ming4 ,Haliotidis Concha,Liver-pacifying and wind-extinguishing medicinal,"Shell of Haliotis diversicolor Reeve, Holiotis discus hannai Ino, Haliotis ovina Gmelin, Haliotis ruber (Leach), Haliotis asinina Linnaeus or Haliotis laevigata (Donovan) (Fam. Haliotidae)",salty; cold,Liver
1,Akebia Fruit,預知子,yùzhīzǐ,jyu6 zi1 zi2 ,Akebiae Fructus,Qi-regulating medicinal,"Dried nearly ripe fruit of Akebia quinata (Thunb.) Decne., Akebia trifoliata (Thunb.) Koidz., Akebia trifoliata (Thunb.) Koidz. var. australis (Diels) Rehd. (Fam. Lardizabalaceae)",bitter; cold,"Liver, Gallbladder, Stomach"
2,Akebia Stem,木通,mùtōng,muk6 tung1 ,Akebiae Caulis,Strangury-relieving diuretic medicinal,"Dried stem of Akebia quinata (Thunb.) Decne., Akebia trifoliata (Thunb.) Koidz, Akebia trifoliata (Thunb.)Koidz. var. australis (Diels)Rehd. (Fam. Lardizabalaceae)",bitter; slightly cold,"Heart, Small intestine, Bladder"
3,Albizia Flower,合歡花,héhuānhuā,hap6 fun1 faa1 ,Albiziae Flos,Heart-nourishing tranquillizing medicinal,Dried inflorescence of Albizia julibrissin Durazz. (Fam. Leguminosae),sweet; neutral,"Heart, Liver"
4,American Ginseng,西洋參,xīyángcān,sai1 joeng4 sam1 ,Panacis Quinquefolii Radix,Qi-tonifying medicinal,Dried root of Panax quinquefolium L. (Fam. Aralianceae),"slightly bitter, sweet; cool","Heart, Lung, Kidney"
5,Antelope Horn,羚羊角,língyángjiǎo,ling4 joeng4 gok3 ,Saigae Tataricae Cornu,Liver-pacifying and wind-extinguishing medicinal,Horn of Saiga tatarica Linnaeus (Fam. Bovidea),salty; cold,"Liver, Heart"
6,Appendiculate Cremastra Pseudobulb or Common Pleione Pseudobulb,山慈菇,shāncígū,saan1 ci4 gu1 ,Cremastrae Seu Pleiones Pseudobulbus,Heat-clearing and detoxicating medicinal,"Dried pseudobulb of Cremastra appensiculata (D.Don) Makino, Pleione bulbocodioides (Franch.) Rolfe or Pleione yunnanensis Polfe (Fam. Orchidaceae)","sweet, slightly pungent; cool","Liver, Spleen"
7,Arc Shell,瓦楞子,wǎléngzǐ,ngaa5 ? zi2 ,Arcae Concha,Phlegm resolving medicinal,"Shell of Arca subcrenata Lischke, Arca gransa Linnaeus or Arca inflata Reeve (Fam. Arcidae)",salty; neutral,"Lung, Stomach, Liver"
8,Areca Peel,大腹皮,dàfùpí,daai6 fuk1 pei4 ,Arecae Pericarpium,Qi-regulating medicinal,Dried pericarp of Areca catechu L. (Fam. Palmae),pungent; slightly warm,"Spleen, Stomach, Large intestine, Small intestine"
9,Areca Seed,檳榔,bīnláng,ban1 long4 ,Arecae Semen,Worm-expelling medicinal,Dried ripe seed of Areca catechu L. (Fam. Palmae),"pungent, bitter; warm","Stomach, Large intestine"
10,Argy Wormwood Leaf,艾葉,àiyè,ngaai6 jip6 ,Artemisiae Argyi Folium,Meridian-warming hemostatic medicinal,Dried leaf of Arthemisia argyi Lévl.et Vant. (Fam. Compositae),"pungent, bitter; warm; slightly toxic","Liver, Spleen, Kidney"
11,Armand Clematis Stem,川木通,chuānmùtōng,cyun1 muk6 tung1 ,Clematidis Armandii Caulis,Strangury-relieving diuretic medicinal,Dried lianoid stem of Clematis armandii Franch. or Clematis montana Buch.-Ham. (Fam. Ranunculaceae),"bland, bitter; cold","Heart, Lung, Small intestine, Bladder"
12,Arnebia Root,紫草,zǐcǎo,zi2 cou2 ,Arnebiae Radix,Heat-clearing and blood-cooling medicinal,Dried root of Arnebia euchroma (Royle) Johnst. or Arnebia guttata Bunge (Fam. Boraginaceae),"sweet, salty; cold","Liver, Heart"
13,Ash Bark,秦皮,qínpí,ceon4 pei4 ,Fraxini Cortex,Heat-clearing and dampness-drying medicinal,"Dried branch bark or stem bark of Fraxinus rhynchophylla Hance, Fraxinus chinensis Roxb., Fraxinus szaboana Lingelsh. or Fraxinus stylosa Lingelsh. (Fam. Oleanaceae)","bitter, astringent; cold","Liver, Gallbladder, Large intestine"
14,Asiatic Cornelian Cherry Fruit,山茱萸,shānzhūyú,saan1 zyu1 jyu4 ,Corni Fructus,Astringent medicinal,Dried ripe sarcocarp of Cornus officinalis Sieb. et Zucc. (Fam. Cornaceae),"astringent, sour; slightly warm","Liver, Kidney"
15,Asiatic Pennywort Herb,積雪草,jīxuěcǎo,zik1 syut3 cou2 ,Centellae Herba,Dampness-draining anti-icteric medicinal,Dried herb of Centella asiatica (L.) Urb. (Fam. Umbelliferae),"bitter, pungent; cold","Liver, Spleen, Kidney"
16,Atractylodes Rhizome,蒼朮,cāngshù,cong1 ? ,Atractylodis Rhizoma,Dampness-resolving medicinal,Dried rhizome of Atractylodes lancea (Thunb.) DC. or Atractylodes cinensis (DC.) Koidz. (Fam. Compositae),"pungent, bitter; warm","Liver, Spleen, Stomach"
17,Baical Skullcap Root,黃芩,huángqín,wong4 ? ,Scutellariae Radix,Heat-clearing and dampness-drying medicinal,Dried root of Scutellaria baicalensis Georgi (Fam. Labiatae),bitter; cold,"Spleen, Lung, Gallbladder, Small intestine, Large intestine"
18,Bamboo Shavings,竹茹,zhúrú,zuk1 jyu4 ,Bambusae in Taenia Caulis,Phlegm resolving medicinal,"Dried middle shavings of Bambusa tuldoides Munro, Sinocalamus beecheyanus (Munro) McClure var. pubescens P.F. Li or Phyllostachys nigra (Lodd.) Munro var. henonis (Mitf.) Stapf ex Rendle (Fam. Graminae)",sweet; slightly cold,"Lung, Stomach"
19,Baphicacanthus Root,南板藍根,nánbǎnlángēn,naam4 baan2 laam4 gan1 ,Baphicacanthis Cusiae Rhizoma et Radix,Heat-clearing and detoxicating medicinal,Dried rhizome and root of Baphicacanthus cusia (Nees) Bremek. (Fam. Acanthaceae),bitter; cold,"Heart, Stomach"
20,Barbary Wolfberry Fruit,枸杞子,jǔqǐzǐ,gau2 gei2 zi2 ,Lycii Fructus,Yin-tonifying medicinal,Dried ripe fruit of Lycium barbarum L. (Fam. Solanaceae),sweet; neutral,"Liver, Kidney"
21,Barbated Skullcup Herb,半枝蓮,bànzhīlián,bun3 zi1 lin4 ,Scutellariae Barbatae Herba,Heat-clearing and detoxicating medicinal,Dried herb of Sctutellaria barbata D. Don (Fam. Labiatae),"sweet, bitter; cold","Liver, Lung, Kidney"
22,Beautiful Sweetgum Fruit,路路通,lùlùtōng,lou6 lou6 tung1 ,Liquidamibris Fructus,Wind-dampness-dispelling and cold-dispersing medicinal,Dried ripe infructescences of Liquidambar formosana Hance. (Fam. Hamamelidaceae),bitter; neutral,"Liver, Kidney"
23,Belvedere Fruit,地膚子,dìfūzǐ,dei6 fu1 zi2 ,Kochiae Fructus,Heat-clearing and dampness-drying medicinal,Dried ripe fruit of Kochia scoparia (L.) Schrad. (Fam. Chenopodiaceae),"pungent, bitter; cold",Kidney
24,Bile Arisaema,膽南星,dǎnnánxīng,daam2 naam4 sing1 ,Arisaema cum Bile,Phlegm resolving medicinal,"Prepared from finely powered tuber of Arisaema serubescens (Wall.) Schott, Arisaema heterophyllum Bl. or Arisaema amurense Maxim. and the bile of ox, sheep or pig","bitter, slightly pungent; cool","Lung, Liver, Spleen"
25,Biond Magnolia Flower,辛夷,xīnyí,san1 ji4 ,Magnoliae Flos,Wind-cold-dispersing medicinal,"Dried flower bud of Magnolia biondii Pamp., Magnolia denudata Desr. or Magnolia sprengeri Pamp. (Fam. Magnoliaceae)",pungent; warm,"Lung, Stomach"
26,Bistort Rhizome,拳參,quáncān,kyun4 sam1 ,Bistortae Rhizoma,Heat-clearing and detoxicating medicinal,Dried rhizome of Polygonum bistorta L. (Fam. Polygonaceae),"bitter, astringent; slightly cold","Lung, Liver, Large intestine"
27,Bitter Apricot Seed,苦杏仁,kǔxìngrén,fu2 hang6 jan4 ,Armeniacae Amarum Semen,Cough-suppressing and panting-calming medicinal,"Dried ripe seed of Prunus armeniaca L. var. ansu Maxim., Prunus sibirica L., Prunus mandshurica (Maxim.) Koehne or Prunus armeniaca L. (Fam. Rosaceae)",bitter; slightly warm; slightly toxic,"Lung, Large intestine"
28,Black Sesame,黑芝麻,hēizhīmá,hak1 zi1 maa4 ,Sesami Nigrum Semen,Yin-tonifying medicinal,Dried ripe seed of Sesamum indicum L. (Fam. Pedaliaceae),sweet; neutral,"Liver, Kidney, Large intestine"
29,Black-tail Snake,烏梢蛇,wūshāoshé,wu1 saau1 se4 ,Zaocys,Wind-dampness-dispelling and cold-dispersing medicinal,Dried body of Zaocys dhummnades (Cantor) (Fam. Colubridea),sweet; neutral,Liver
30,Blackberry Lily Rhizome,射干,shègān,se6 gon3 ,Belamicandae Rhizoma,Heat-clearing and detoxicating medicinal,Dried rhizome of Belamcanda chinensis (L.) DC. (Fam. Iridaceae),bitter; cold,Lung
31,Blackend Swallowwort Root,白薇,báiwéi,baak6 mei4 ,Cynanchi Atrati Radix et Rhizoma,Deficiency heat-clearing medicinal,Dried root and rhizome of Cynanchum atratum Bge. or Cynanchum versicolor Bge. (Fam. Asclepiadaceae),"bitter, salty; cold","Liver, Kidney, Stomach"
32,Blister Beetle,斑蝥,bānmáo,baan1 ? ,Mylabris,-,Dried body of Mylabris phalerata Pallas or Mylabris cichorii Linnaeus (Fam. Meloidae),pungent; hot; strongly toxic,"Liver, Stomach, Kidney"
33,Boat-fruited Sterculia Seed,胖大海,pàngdàhǎi,bun6 daai6 hoi2 ,Sterculiae Lychnophorae Semen,Cough-suppressing and panting-calming medicinal,Dried ripe seed of Sterculia lychnophora Hance (Fam. Sterculiacaeae),sweet; cold,"Lung, Large intestine"
34,Buffalo Horn,水牛角,shǔiníujiǎo,seoi2 ngau4 gok3 ,Bubali Cornu,Heat-clearing and blood-cooling medicinal,Horn of Bubalus bubalis Linnaeus (Fam. Bovidea),bitter; cold,"Liver, Heart"
35,Cablin Patchouli Herb,廣藿香,guǎnghuòxiāng,gwong2 ? hoeng1 ,Pogostemonis Herba,Dampness-resolving medicinal,Dried aerial part of Pogostemon cablin (Blanco) Benth. (Fam. Labiatae),pungent; slightly warm,"Spleen, Stomach, Lung"
36,Canton Love-pea Vine,雞骨草,jīgǔcǎo,gai1 gwat1 cou2 ,Abri Herba,Heat-clearing and detoxicating medicinal,Dried herb of Abrus cantoniensis Hance (Fam. Leguminosae),"sweet, slightly bitter; cool","Liver, Stomach"
37,Caoguo,草果,cǎoguǒ,cou2 gwo2 ,Tsaoko Fructus,Dampness-resolving medicinal,Dried ripe fruit of Amomum tsok-ko Crevost et Lemaire (Fam. Zingiberaceae),pungent; warm,"Spleen, Stomach"
38,Cape Jasmine Fruit,梔子,zhīzǐ,? zi2 ,Gardeniae Fructus,Heat-clearing and fire-purging medicinal,Dried ripe fruit of Gardenia jasminoides Ellis (Fam. Rubiaceae),bitter; cold,"Heart, Lung, Triple energizers"
39,Carbonized Fineleaf Schizonepeta Herb,荊芥炭,jīngjiètàn,ging1 gaai3 taan3 ,Schizonepetae Carbonistum Herba,Astringent hemostatic medicinal,Processed fruit-spike of Schizonepeta tenuisfolia Briq. (Fam. Labiatae),"pungent, astringent; slightly warm","Lung, Liver"
40,Carbonized Hair,血餘炭,xiěyútàn,hyut3 jyu4 taan3 ,Carbonisatus Crinis,Astringent hemostatic medicinal,Made of the human hair,bitter; neutral,"Liver, Stomach"
41,Cassia Bark,肉桂,ròugùi,juk6 gwai3 ,Cinnamomi Cortex,Interior-warming medicinal,Dried stem bark of Cinnamomum cassia Presl (Fam. Lauraceae),"pungent, sweet; strongly hot","Liver, Heart, Spleen, Kidney"
42,Cassia Seed,決明子,juémíngzǐ,kyut3 ming4 zi2 ,Cassiae Semen,Heat-clearing and fire-purging medicinal,Dried ripe seed of Cassia obtusifolia L. or Cassia tora L. (Fam. Leguminosae),"sweet, bitter; slightly cold","Liver, Large intestine"
43,Cassia Twig,桂枝,gùizhī,gwai3 zi1 ,Cinnamomi Ramulus,Wind-cold-dispersing medicinal,Dried young branch of Cinnamomum cassia Presl (Fam. Lauranceae),"pungent, sweet; warm","Heart, Spleen, Lung"
44,Castor Seed,蓖麻子,bìmázǐ,? maa4 zi2 ,Ricini Semen,Heat-clearing and detoxicating medicinal,Dried ripe seed of Ricinus commiunis L. (Fam. Euphorbiaceae),"sweet, pungent; neutral; toxic","Large intestine, Lung"
45,Catclaw Buttercup Root,貓爪草,māozhuǎcǎo,maau1 zaau2 cou2 ,Ranunculi Ternati Radix,Heat-clearing and detoxicating medicinal,Dried root tuber of Ranunculus ternatus Thunb. (Fam. Ranunculaceae),"sweet, pungent; warm","Liver, Lung"
46,Cattail Pollen,蒲黃,púhuáng,pou4 wong4 ,Typhae Pollen,Stasis-resolving hemostatic medicinal,"Dried pollen of Typha angustifolia L., Typha orientalis Presl or ther plants of the same genus (Fam. Typhaceae)",sweet; neutral,"Liver, Pericardium"
47,Centipede,蜈蚣,wúgōng,ng4 gung1 ,Scolopendra,Liver-pacifying and wind-extinguishing medicinal,Dried body of Scolopendra subspinipes mutilans L. Koch (Fam. Scolopendridae),pungent; warm; toxic,Liver
48,Chaulmoogratree Seed,大風子,dàfēngzǐ,daai6 fung1 zi2 ,Hydnocarpi Hainanensis Semen,Dry dampness relieve itching and kill worms medicinal,Dried ripe fruit of Hydnocarpus anthelmintica Pierre. (Fam. Flacourtiaceae),pungent; hot; toxic,"Liver, Spleen, Kidney"
49,Cherokee Rose Fruit,金櫻子,jīnyīngzǐ,gam1 jing1 zi2 ,Rosae Laevigatae Fructus,Astringent medicinal,Dried ripe fruit of Rosa laevigata Michx (Fam. Rosaceae),"sour, sweet, astringent; neutral","Kidney, Bladder, Large intestine"
50,Chicken's Gizzard-skin,雞內金,jīnèijīn,gai1 noi6 gam1 ,Corneum Gigeriae Galli Endothelium,Digestant medicinal,Dried inner wall of the gizzard of Gallus gallus domesticus Brisson (Fam. Phasianidae),sweet; neutral,"Spleen, Small intestine, Stomach, Bladder"
51,Chinaroot Greenbrier Rhizome,菝葜,bájié,bat6 ? ,Smilacis Chinae Rhizoma,Wind-dampness-dispelling and heat-clearing medicinal,Dried rhizome of Smilax china L. (Fam. Liliaceae),"sweet, slightly bitter, slightly astringent; neutral","Liver, Kidney"
52,Chinese Angelica,當歸,dānggūi,dong3 gwai1 ,Angelicae Sinensis Radix,Blood-tonifying medicinal,Dried root of Angelica sinensis (Oliv.) Diels (Fam. Umbelliferae),"pungent, sweet; warm","Liver, Heart, Spleen"
53,Chinese Arborvitae Kernel,柏子仁,bǎizǐrén,paak3 zi2 jan4 ,Platycladi Semen,Heart-nourishing tranquillizing medicinal,Dried ripe seed of Platyclasdus orientalis (L.) Franco (Fam. Cupressaceae),sweet; neutral,"Heart, Kidney, Large intestine"
54,Chinese Arborvitae Twig and Leaf,側柏葉,cèbǎiyè,zak1 paak3 jip6 ,Platycladi Cacumen,Blood-cooling hemostatic medicinal,Dried twig and leaf of Platyclasdus orientalis (L.) Franco (Fam. Cupressaceae),"bitter, astringent; cold","Lung, Liver, Spleen"
55,Chinese Cinquefoil,委陵菜,wěilíngcài,wai2 ling4 coi3 ,Potentillae Chinensis Herba,Heat-clearing and detoxicating medicinal,Dried herb of Potentilla chinensis Ser. (Fam. Rosaceae),bitter; cold,"Liver, Large intestine"
56,Chinese Clematis Root,威靈仙,wēilíngxiān,wai1 ling4 sin1 ,Clematidis Radix et Rhizoma,Wind-dampness-dispelling and cold-dispersing medicinal,"Dried root and rhizome of Clematis chinensis Osbeck, Clematis hexapetala Pall. or Clematis manshurica Rupr. (Fam. Ranunculaceae)","pungent, salty; warm",Bladder
57,Chinese Cork-tree,黃柏,huángbǎi,wong4 paak3 ,Phellodendri Chinensis Cortex,Heat-clearing and dampness-drying medicinal,Dried bark of Phellodendron chinense Schneid. (Fam. Rutaceae),bitter; cold,"Kidney, Bladder"
58,Chinese Date,大棗,dàzǎo,daai6 zou2 ,Jujubae Fructus,Qi-tonifying medicinal,Dried ripe fruit of Ziziphus jujuba Mill. (Fam. Rhamnaceae),sweet; warm,"Spleen, Stomach"
59,Chinese Dwarf Cherry Seed,鬱李仁,yùlǐrén,wat1 lei5 jan4 ,Pruni Semen,Laxative medicinal,"Dried ripe seed of Prumnus humilis Bge., Prunus japonica Thunb. or Prunus pedunculata Maxim. (Fam. Rosaceae)","pungent, bitter, sweet; neutral","Spleen, Large intestine, Small intestine"
60,Chinese Eaglewood Wood,沉香,chénxiāng,cam4 hoeng1 ,Aquilariae Resinatum Lignum,Qi-regulating medicinal,Resin containing wood of Aquilaria sinensis (Lour.) Gilg (Fam. Thymelaeaceae),"pungent, bitter; slightly warm","Spleen, Stomach, Kidney"
61,Chinese Gall,五倍子,wǔbèizǐ,ng5 pui5 zi2 ,Chinensis Galla,Astringent medicinal,"Gall produced mainly by parasitic aphids of Melaphis chinensis (Bell) Baker on the leaf of Rhus chinensis Mill., Rhus potaninii Maxim. or Rhus punjabensis Stew. var. sinica (Diels) Rehd. et Wils. (Fam. Anacardiaceae)","astringent, sour; cold","Lung, Kidney, Large intestine"
62,Chinese Gentian,龍膽,lóngdǎn,lung4 daam2 ,Gentianae Radix et Rhizoma,Heat-clearing and dampness-drying medicinal,"Dried root and rhizome of Gentiana manshurica Kitag., Gantiana scabra Bge., Gentiana triflora Pall. or Gentiana rigescens Franch. (Fam. Gentianaceae)",bitter; cold,"Liver, Gallbladder"
63,Chinese Holly Leaf,枸骨葉,jǔgǔyè,gau2 gwat1 jip6 ,Ilicis Cornutae Folium,Deficiency heat-clearing medicinal,Dried leaf of Ilex cornuta Lindl. ex Paxt. (Fam. Aquifoliaceae),bitter; cool,"Liver, Kidney"
64,Chinese Lobelia Herb,半邊蓮,bànbiānlián,bun3 bin1 lin4 ,Lobeliae Chinensis Herba,Heat-clearing and detoxicating medicinal,Dried herb of Lobelia chinensis Lour. (Fam. Campanulaceae),pungent; neutral,"Heart, Small intestine, Lung"
65,Chinese Lovage,藁本,gǎoběn,gou2 bun2 ,Ligustici Rhizoma et Radix,Wind-cold-dispersing medicinal,Dried rhizome and root of Ligusticum sinense Oliv. or Ligusticum jeholense Nakai et Kitag. (Fam. Umbelliferae),pungent; warm,Bladder
