species,family,name,region,part,source
Abelmoschus moschatus,Malvaceae,abelmosk seed; ambrette seed; amber seed; musk mallow; musk okra,E As,seed,van_wyk_culinary_2014
Achillea ageratum,Asteraceae,English mace; sweet nancy; sweet yarrow,Eur,leaf; herb,van_wyk_culinary_2014
Achillea atrata,Asteraceae,black yarrow,Eur,herb,van_wyk_culinary_2014
Achillea clavenae,Asteraceae,bitter yarrow,As; Eur; N Am,leaf,van_wyk_culinary_2014
Achillea erba-rotta,Asteraceae,alpine yarrow; musk milfoil; musk yarrow,Eur,leaf; herb,van_wyk_culinary_2014
Achillea millefolium,Asteraceae,common yarrow; fragrant yarrow; milfoil,As; Eur; N Am,leaf,van_wyk_culinary_2014
Achillea nobilis,Asteraceae,noble milfoil; noble yarrow,As; Eur,leaf,van_wyk_culinary_2014
Achyrocline satureioides,Asteraceae,alecrim da parede; macela,Afr; S Am,flower,van_wyk_culinary_2014
Acinos arvensis,Lamiaceae,basil thyme; mother of thyme; spring savory,N Am,herb,van_wyk_culinary_2014
Acorus calamus,Acoraceae,calamus; sweet flag,As; Eur; N Am,rhizome,van_wyk_culinary_2014
Acorus gramineus,Acoraceae,Chinese sweet grass; Japanese sweet flag; grass leaf sweet flag,E As,rhizome,van_wyk_culinary_2014
Adansonia digitata,Bombacaceae,baobab,Afr,leaf; seeds,van_wyk_culinary_2014
Aegle marmelos,Rutaceae,bael; bel; Bengal quince; Indian bael,As,leaf,van_wyk_culinary_2014
Aeollanthus heliotropoides,Lamiaceae,chegadinka; macassa,Afr,leaf,van_wyk_culinary_2014
Aframomum alboviolaceum,Zingiberaceae,Cameroon cardamom,Trop Afr,leaf,van_wyk_culinary_2014
Aframomum angustifolium,Zingiberaceae,Madagascar cardamom,Madag,seed,van_wyk_culinary_2014
Aframomum daniellii,Zingiberaceae,bastard Melegueta; Cameroon cardamom,Trop W Afr,seed,van_wyk_culinary_2014
Aframomum exscapum,Zingiberaceae,alligator pepper; grains of paradise,Trop W Afr,seed,van_wyk_culinary_2014
Aframomum granumparadisi,Zingiberaceae,grains of paradise,W Afr,seed,van_wyk_culinary_2014
Aframomum hanburyi,Zingiberaceae,Cameroon cardamom,Trop W Afr,seed,van_wyk_culinary_2014
Aframomum corrorima,Zingiberaceae,Ethiopian cardamom; korarima,Trop NE Afr,seed,van_wyk_culinary_2014
Aframomum macrospermum,Zingiberaceae,Guinea cardamom,W Afr,seed,van_wyk_culinary_2014
Aframomum melegueta,Zingiberaceae,Melegueta pepper; grains of paradise; alligator pepper,Trop W Afr,seed,van_wyk_culinary_2014
Aframomum sceptrum,Zingiberaceae,black amomum,W Afr,leaf,van_wyk_culinary_2014
Afrostyrax kamerunensis,Styracaceae,Cameroon garlic tree,Trop Afr,bark; seed,van_wyk_culinary_2014
Afrostyrax lepidophyllus,Styracaceae,garlic bark (tree),Trop Afr,bark; seed,van_wyk_culinary_2014
Agastache foeniculum,Lamiaceae,anise hyssop,N Am; W As,leaf,van_wyk_culinary_2014
Agastache mexicana,Lamiaceae,Mexican giant hyssop; lemon hyssop,As,leaf,van_wyk_culinary_2014
Agastache rugosa,Lamiaceae,Chinese giant hyssop; Korean mint,N Am; W As,leaf,van_wyk_culinary_2014
Agathosma betulina,Rutaceae,buchu; round leaf buchu,S Afr,leaf,van_wyk_culinary_2014
Agathosma crenulata,Rutaceae,oval leaf buchu,S Afr,leaf,van_wyk_culinary_2014
Aglaia odoratissima,Meliaceae,mock lime; orchid tree,As; W Pac,flower,van_wyk_culinary_2014
Aleurites moluccana,Euphorbiaceae,candle nut,SE As,seed,van_wyk_culinary_2014
Alliaria petiolata,Brassicaceae,garlic mustard,Eur; Temp As,leaf,van_wyk_culinary_2014
Allium altaicum,Alliaceae,Altai onion,C As,bulb,van_wyk_culinary_2014
Allium ameloprasum,Alliaceae,leeks,Med; W As,bulb; leaf,van_wyk_culinary_2014
Allium cepa,Alliaceae,onion,W As; C As,bulb,van_wyk_culinary_2014
Allium chinense,Alliaceae,Chinese onion; oriental onion; rakkyo,China,bulb,van_wyk_culinary_2014
Allium fistulosum,Alliaceae,Welsh onion; Japanese bunching onion,China,bulb; leaf,van_wyk_culinary_2014
Allium giganteum,Alliaceae,giant onion,C As,bulb,van_wyk_culinary_2014
Allium kurrat,Alliaceae,kurrat; salad leek; Egypt leek,Med; W As,leaf,van_wyk_culinary_2014
Allium moly,Alliaceae,lily leek; moly; yellow onion,Eur,bulb,van_wyk_culinary_2014
Allium neopolitanum,Alliaceae,daffodil garlic; Naples garlic; false garlic,Med; W As,bulb; leaf,van_wyk_culinary_2014
Allium obliquum,Alliaceae,oblique onion,Eur; As,bulb,van_wyk_culinary_2014
Allium oleraceum,Alliaceae,field garlic,Eur,bulb; leaf,van_wyk_culinary_2014
Allium oschaninii,Alliaceae,Oschanin onion,C As; W As,bulb,van_wyk_culinary_2014
Allium paradoxum,Alliaceae,few-flowered leek,Eur; W As,bulb; leaf,van_wyk_culinary_2014
Allium ×proliferum,Alliaceae,Egyptian onion; top onion; tree onion,cultigen,bulblet; leaf,van_wyk_culinary_2014
Allium pskemense,Alliaceae,Russian onion,As,bulb,van_wyk_culinary_2014
Allium ramosum,Alliaceae,Chinese leek,As,bulb; leaf,van_wyk_culinary_2014
Allium sativum,Alliaceae,garlic,C As; W As,bulb,van_wyk_culinary_2014
Allium schoenoprasum,Alliaceae,chive; chives,Med; Eur; As,leaves,van_wyk_culinary_2014
Allium schorodoprasum,Alliaceae,sand leek; Spanish garlic; rocambole,Eur; As,bulblet; leaf,van_wyk_culinary_2014
Allium senescens,Alliaceae,mountain leek,C Eur; As,leaf,van_wyk_culinary_2014
Allium sphaerocephalon,Alliaceae,ball leek,Med; Eur,leaf,van_wyk_culinary_2014
Allium stipitatum,Alliaceae,drumstick onion,C As,bulb,van_wyk_culinary_2014
Allium tricoccum,Alliaceae,ramp; wild leek; wood leek,N Am,bulb; leaf,van_wyk_culinary_2014
Allium tuberosum,Alliaceae,garlic chive; Chinese chive,As,leaf,van_wyk_culinary_2014
Allium ursinum,Alliaceae,bear’s garlic; ramsons; wood garlic,Eur; As,leaf,van_wyk_culinary_2014
Allium vavilovii,Alliaceae,Vavilov’s leek,C As,bulb; leaf,van_wyk_culinary_2014
Allium victoralis,Alliaceae,alpine leek,Eur; As,leek; bulb,van_wyk_culinary_2014
Allium vineale,Alliaceae,crow garlic; false garlic; field garlic,Eur,leaf,van_wyk_culinary_2014
Aloysia citrodora (=Aloysia triphylla),Verbenaceae,lemon verbena; vervain; cidron; herb Luisa,S Am,leaves,van_wyk_culinary_2014
Alpinia calcarata,Zingiberaceae,Indian ginger; snap ginger,As; Pac; E Ind,rhizome,van_wyk_culinary_2014
Alpinia conchigera,Zingiberaceae,mussel galangal,SE As,rhizome,van_wyk_culinary_2014
Alpinia galanga,Zingiberaceae,galangal; greater galangal,Trop As,rhizome,van_wyk_culinary_2014
Alpinia nigra,Zingiberaceae,black galangal,Pac; SE As,rhizome,van_wyk_culinary_2014
Alpinia officinarum,Zingiberaceae,lesser galangal; small galangal,E As; SE As,rhizome,van_wyk_culinary_2014
Alpinia purpurata,Zingiberaceae,red ginger,As; Pac; Malay,leaf,van_wyk_culinary_2014
Alpinia zerumbet,Zingiberaceae,shell ginger,As; Pac; E As,leaf; rhizome,van_wyk_culinary_2014
Alstonia scholaris,Apocynaceae,devil tree; dita bark; palmira alstonia,Indomal; Aus,bark,van_wyk_culinary_2014
Alyxia lucida,Apocynaceae,alyxia cinnamon,Indomal,bark,van_wyk_culinary_2014
Amelanchier alnifolia,Rosaceae,alderleaf berry; Pacific berry; saskatoon; western serviceberry,N Am,fruit,van_wyk_culinary_2014
Ammi majus,Apiaceae,false bishop’s weed; greater ammi; lady’s lace,Med; NE Afr,fruit,van_wyk_culinary_2014
Ammi visnaga,Apiaceae,khella; visnaga; lesser bishop’s weed,S Eur; NE Afr,fruit,van_wyk_culinary_2014
Ammodaucus leucotrichus,Apiaceae,cafoun,Canary Is; N Afr; W Afr,fruit; seed,van_wyk_culinary_2014
Amomum aromaticum,Zingiberaceae,Bengal cardamom; Nepal cardamom; large cardamom,N Ind; Bangl; Nepal,fruit & seed,van_wyk_culinary_2014
Amomum compactum,Zingiberaceae,Indonesian cardamom,SE As,fruit & seed,van_wyk_culinary_2014
Amomum costatum,Zingiberaceae,Chinese black cardamom,E As,fruit & seed,van_wyk_culinary_2014
Amomum globosum,Zingiberaceae,round Chinese cardamom,China,fruit & seed,van_wyk_culinary_2014
Amomum gracile,Zingiberaceae,slender cardamom,SE As,leaf,van_wyk_culinary_2014
Amomum kepulaga,Zingiberaceae,round cardamom,Trop As,fruit & seed,van_wyk_culinary_2014
Amomum krervanh,Zingiberaceae,Cambodian cardamom; krervanh,Trop As,fruit & seed,van_wyk_culinary_2014
Amomum maximum,Zingiberaceae,Java cardamom,Trop As,fruit & seed,van_wyk_culinary_2014
Amomum ochreum,Zingiberaceae,tepus batu,As,fruit & seed,van_wyk_culinary_2014
Amomum subulatum,Zingiberaceae,brown cardamom; greater cardamom; Indian cardamom,As,fruit & seed,van_wyk_culinary_2014
Amomum testaceum,Zingiberaceae,ka tepus,As,fruit & seed,van_wyk_culinary_2014
Amomum tsao-ko,Zingiberaceae,tsao-ko cardamom; large cardamom,As,fruit & seed,van_wyk_culinary_2014
Amomum villosum,Zingiberaceae,Malabar cardamom; Tavoy cardamom; wild Siamese cardamom,As,fruit & seed,van_wyk_culinary_2014
Amomum xanthioides,Zingiberaceae,bastard Siamese cardamom; wild Siamese cardamom,As,fruit & seed,van_wyk_culinary_2014
Amomum xanthophlebium,Zingiberaceae,elach,As,flower,van_wyk_culinary_2014
Anacyclus pyrethrum,Asteraceae,Roman pellitory; Spanish pellitory,Eur; N Afr,root,van_wyk_culinary_2014
Anethum graveolens (=A. sowa),Apiaceae,dill; Indian dill,W As; Ind,leaf; fruit,van_wyk_culinary_2014
Angelica acutiloba,Apiaceae,dong dang gui,Eur; E As,root; leaf,van_wyk_culinary_2014
Angelica archangelica,Apiaceae,angelica; garden angelica; archangel,Eur; As,root; fruit; stem,van_wyk_culinary_2014
Angelica atropurpurea,Apiaceae,American angelica,N Am,root; fruit,van_wyk_culinary_2014
Angelica japonica,Apiaceae,Japanese angelica,As,root; fruit,van_wyk_culinary_2014
Angelica polymorpha var. sinensis,Apiaceae,Chinese angelica; dang gui,As; E As,root,van_wyk_culinary_2014
Angelica sylvestris,Apiaceae,wild angelica,Eur; W As,root,van_wyk_culinary_2014
Aniba canellila,Lauraceae,Oriniko cinnamon,S Am,bark; leaf,van_wyk_culinary_2014
Aniba rosaedora,Lauraceae,rose wood,N Am; S Am,wood,van_wyk_culinary_2014
Anthoxanthum odoratum,Poaceae,scented vernal grass; sweet vernal grass,Eur; As,leaf,van_wyk_culinary_2014
Anthriscus cerefolium,Apiaceae,chervil; garden chervil; French parsley,As; W As,leaf,van_wyk_culinary_2014
Apium graveolens,Apiaceae,celery,Eur; As,leaf; seed,van_wyk_culinary_2014
Aquilaria agallocha,Thymelaeaceae,agar wood; eagle wood,As,wood,van_wyk_culinary_2014
Arachis hypogaea,Leguminosae,peanut; ground nut,S Am,seed,van_wyk_culinary_2014
Aristolochia serpentaria,Aristolochiaceae,Virginia serpentary; Virginia snakeroot,N Am,rhizome,van_wyk_culinary_2014
Armoracia rusticana,Brassicaceae,horseradish,As,root,van_wyk_culinary_2014
Arnica chamissonis,Asteraceae,leafy leopardsbane,N Am,flower,van_wyk_culinary_2014
Arnica montana,Asteraceae,arnica; European arnica; mountain arnica,Eur,flower,van_wyk_culinary_2014
Artabotrys hexapetalus,Annonaceae,tail grape,S As,flower,van_wyk_culinary_2014
Artemisia abrotanum,Asteraceae,southernwood,Eur?,leaves,van_wyk_culinary_2014
Artemisia absinthium,Asteraceae,absinthe; common wormwood,Euras; N Afr,leaves,van_wyk_culinary_2014
Artemisia dracunculoides,Asteraceae,Russian tarragon,Eur; As,leaves,van_wyk_culinary_2014
Artemisia dracunculus,Asteraceae,tarragon; French tarragon; estragon,Eur; As,leaves,van_wyk_culinary_2014
Artemisia genipi,Asteraceae,genépi noir,Eur,leaf,van_wyk_culinary_2014
Artemisia glacialis,Asteraceae,glacier wormwood,Eur,leaf,van_wyk_culinary_2014
Artemisia indica,Asteraceae,Indian mugwort,As,leaf,van_wyk_culinary_2014
Artemisia judaica,Asteraceae,graines à vers; zédoire,N Afr,herb,van_wyk_culinary_2014
Artemisia ludoviciana,Asteraceae,cudweed; western mugwort; white sage,N Am,herb,van_wyk_culinary_2014
Artemisia maritima,Asteraceae,sea wormwood,Eur; As,herb,van_wyk_culinary_2014
Artemisia mexicana,Asteraceae,Mexican mugwort,N Am,herb,van_wyk_culinary_2014
Artemisia mutellina,Asteraceae,alpine wormwood; white genipi,Eur,herb,van_wyk_culinary_2014
Artemisia pallens,Asteraceae,davana,As,herb,van_wyk_culinary_2014
