,species,family,name,region,part,source
0,Abelmoschus moschatus,Malvaceae,abelmosk seed,E As,seed,van_wyk_culinary_2014
1,Abelmoschus moschatus,Malvaceae,ambrette seed,E As,seed,van_wyk_culinary_2014
2,Abelmoschus moschatus,Malvaceae,amber seed,E As,seed,van_wyk_culinary_2014
3,Abelmoschus moschatus,Malvaceae,musk mallow,E As,seed,van_wyk_culinary_2014
4,Abelmoschus moschatus,Malvaceae,musk okra,E As,seed,van_wyk_culinary_2014
5,Achillea ageratum,Asteraceae,English mace,Eur,leaf; herb,van_wyk_culinary_2014
6,Achillea ageratum,Asteraceae,sweet nancy,Eur,leaf; herb,van_wyk_culinary_2014
7,Achillea ageratum,Asteraceae,sweet yarrow,Eur,leaf; herb,van_wyk_culinary_2014
8,Achillea atrata,Asteraceae,black yarrow,Eur,herb,van_wyk_culinary_2014
9,Achillea clavenae,Asteraceae,bitter yarrow,As; Eur; N Am,leaf,van_wyk_culinary_2014
10,Achillea erba-rotta,Asteraceae,alpine yarrow,Eur,leaf; herb,van_wyk_culinary_2014
11,Achillea erba-rotta,Asteraceae,musk milfoil,Eur,leaf; herb,van_wyk_culinary_2014
12,Achillea erba-rotta,Asteraceae,musk yarrow,Eur,leaf; herb,van_wyk_culinary_2014
13,Achillea millefolium,Asteraceae,common yarrow,As; Eur; N Am,leaf,van_wyk_culinary_2014
14,Achillea millefolium,Asteraceae,fragrant yarrow,As; Eur; N Am,leaf,van_wyk_culinary_2014
15,Achillea millefolium,Asteraceae,milfoil,As; Eur; N Am,leaf,van_wyk_culinary_2014
16,Achillea nobilis,Asteraceae,noble milfoil,As; Eur,leaf,van_wyk_culinary_2014
17,Achillea nobilis,Asteraceae,noble yarrow,As; Eur,leaf,van_wyk_culinary_2014
18,Achyrocline satureioides,Asteraceae,alecrim da parede,Afr; S Am,flower,van_wyk_culinary_2014
19,Achyrocline satureioides,Asteraceae,macela,Afr; S Am,flower,van_wyk_culinary_2014
20,Acinos arvensis,Lamiaceae,basil thyme,N Am,herb,van_wyk_culinary_2014
21,Acinos arvensis,Lamiaceae,mother of thyme,N Am,herb,van_wyk_culinary_2014
22,Acinos arvensis,Lamiaceae,spring savory,N Am,herb,van_wyk_culinary_2014
23,Acorus calamus,Acoraceae,calamus,As; Eur; N Am,rhizome,van_wyk_culinary_2014
24,Acorus calamus,Acoraceae,sweet flag,As; Eur; N Am,rhizome,van_wyk_culinary_2014
25,Acorus gramineus,Acoraceae,Chinese sweet grass,E As,rhizome,van_wyk_culinary_2014
26,Acorus gramineus,Acoraceae,Japanese sweet flag,E As,rhizome,van_wyk_culinary_2014
27,Acorus gramineus,Acoraceae,grass leaf sweet flag,E As,rhizome,van_wyk_culinary_2014
28,Adansonia digitata,Bombacaceae,baobab,Afr,leaf; seeds,van_wyk_culinary_2014
29,Aegle marmelos,Rutaceae,bael,As,leaf,van_wyk_culinary_2014
30,Aegle marmelos,Rutaceae,bel,As,leaf,van_wyk_culinary_2014
31,Aegle marmelos,Rutaceae,Bengal quince,As,leaf,van_wyk_culinary_2014
32,Aegle marmelos,Rutaceae,Indian bael,As,leaf,van_wyk_culinary_2014
33,Aeollanthus heliotropoides,Lamiaceae,chegadinka,Afr,leaf,van_wyk_culinary_2014
34,Aeollanthus heliotropoides,Lamiaceae,macassa,Afr,leaf,van_wyk_culinary_2014
