include,v,do,id,powo,taxon_name,taxon_authors,species_syn,species_alt,group,item,description,related,also,source,petruzzello,hill,dalby,vanwyk,anderson,katzer,ucla,polyu,freq,category,tag,comment,kingdom,part,wikipedia,britannica,common_names,wyk_name,dalby_name,hill_name,anderson_name,katzer_name,amar_name,hu_name,wiki_name,other_name,etymologies,wiktionary,plant name,region_of_origin,origin dalby,lat,lon,location,macroarea,cultivation,color,taste_smell,heat,major_uses,ill_source,ill_page,ill_key,ill_link,other_links,wn_plant,wn,wn_comment,English,en_alt,Arabic,ar,ar_literal,ar_alt,Chinese,zh,zh_literal,zh_alt,zh_notes,Hungarian,hu_literal,hu_alt,hu_notes,Cantonese,yu,yu literal,notes,operative,pharmaceutical,tcm,tcm_db,tcm_url,tcm_zh,tcm_pinyin,tcm_en,tcm_desc,medicinal_group,nature_and_flavors,meridian_affinity,action,foc,hu_history_1990,year recorded in TCM,ayurveda,gbif,trop,eol,ncbi,Hindi,hi,hi literal,Hi alt ,Indonesian,Persian
in,79.0,yes,,,Pimenta dioica,(L.) Merr.,Pimenta officinalis Lindl.,,,allspice,the dried unripe berries of a small Caribbean tree,bay rum tree,wild allspice,vanwyk_2014_culinary,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,7,spice,culinary; medicinal; perfumery; distillery,,Plantae,unripe fruit; leaf; wood,https://en.wikipedia.org/wiki/Allspice,https://www.britannica.com/plant/allspice,allspice; Jamaica pepper; pimento; myrtle pepper; newspice,allspice; pimento; Jamaican pepper,"Allspice, Jamaica pepper, *pimento",,allspice,"Jamaica pepper, Myrtle pepper, Pimento, Newspice",,,,,allspice; pimento; fulful ifranji; duoxiangguo,,allspice tree,S. Mexico to C. America; Caribbean,,18.0,-77.0,Jamaica,Americas,Jamaica; Mexico; Honduras,dark brown,"pungent, mixed, spicy",4,"pickles, wines, desserts, liquors; spice for jerking meat; leaf oil for flavouring rum; wood to smoke and grill meat",Köhler's Medizinal-Pflanzen,II 174,koehler_1887_koehler,https://www.biodiversitylibrary.org/item/10837#page/697/mode/1up,,allspice.n.01,allspice.n.03,,allspice,pimento; Jamaica pepper,فلفل إفرنجي,fulful ifranjī,Frankish pepper,,多香果,duōxiāngguǒ,many-spice-fruit,,,szegfűbors,clove-pepper,jamaicaibors [Jamaican-pepper]; amomummag [amomum-seed],vegyesfűszer,,,,West Indies; Greater Antilles;  fruit of Pimenta dioica,look for similar spices on wikipedia article,Fructus Amomi; Fructus Pimentae,0.0,,,,,,,,,,,,,,,https://www.gbif.org/species/3186061,https://tropicos.org/name/22101787,https://eol.org/pages/2508608,375272.0,गंधद्रव्य?,gandhadravya?,,,merica Jamaika,فلفل فرنگی
inn,79.0,,,,Pimpinella anisum,L.,,,,anise,the seed-like fruits of a Mediterranean herb,fennel,star anise,vanwyk_2014_culinary,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,7,spice,culinary; distillery,,Plantae,fruit; oil; leaf,https://en.wikipedia.org/wiki/Anise,https://www.britannica.com/plant/anise,anise; aniseed; anise seed; brown anise; white anise,anise; aniseed,Anise,brown anise; white anise,,,,,,,anise; anisun; huiqin,,anise,E. Mediterranean; W. Asia; Asia Minor,,35.0,33.0,Cyprus,Mediterranean,Turkey; Egypt; Spain; Russia; Italy; etc.,light brown,"licorice-like, sweet",1,"pastries, candies, liquors",Köhler's Medizinal-Pflanzen,II 93,koehler_1887_koehler,https://www.biodiversitylibrary.org/item/10837#page/529/mode/1up,https://www.calabrianfood.com/black-anise-seed,anise.n.01,anise.n.02,,anise,aniseed,أنيسون,anīsūn,,يانسون *yānsūn*,茴芹,huíqín,anise-celery,"西洋茴香 xīyáng huíxiāng [Western-ocean-hui-spice] 'western anise', 洋茴香, 大茴香 'big anise'*, 歐洲大茴香 'European anise'",,ánizs,,közönséges ánizs; illatos ánizs; fűszeránizs,,,,,"Cult: Turkey, Egypt, Spain, Russia, Italy, India, Greece, Northern Africa, Argentina, Malta, Romania, Syria",,Fructus Anisi,0.0,,,,,,,,,,,,,,,https://www.gbif.org/species/8080300,https://tropicos.org/name/1700194,https://eol.org/pages/581422,271192.0,मोटी सौंफ़,motī saunf,fat fennel,,adas manis,بادیان رومی، انیسون
inn,64.0,,,,Ferula foetida,(Bunge) Regel,,Ferula assa-foetida L.; Ferula narthex; et al.,,asafoetida,the dried resin of Ferula foetida and F. assa-foetida,,,vanwyk_2014_culinary,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,7,spice,culinary; medicinal,,Plantae,gum-resin (latex),https://en.wikipedia.org/wiki/Asafoetida,https://www.britannica.com/topic/asafetida,"asafoetida; hing, devil’s dung, asant; fetida","hing, devil’s dung, asant; fetida","Asafoetida, hing",,,,,asafetida,,,asafoetida; hing; hiltit; anjudan; awei; xingqu,,ferula plant,Iran; W. and C. Asia,,34.0,68.0,Afghanistan,Asia,Iran; Afghanistan,from pale yellow to brown,"pungent, rotten",1,curries; expectorant,Köhler's Medizinal-Pflanzen,II 147,koehler_1887_koehler,https://www.biodiversitylibrary.org/item/10837#page/639/mode/1up,,,asafetida.n.01,,asafoetida,hing; devil's dung,حلتیت,ḥiltīt,,,阿魏,āwèi,,,,ördöggyökér,devil's root,aszatgyanta [asat resin]; bűzös aszat [stinking asat],"büdös gyantagyökér; bűzös husáng, bűzös aszat; ördögszar, aszatgyanta, aszandkórógyanta, pálcakórógyanta, aszafetida, bűzaszat , Aszandkóró (növény wiki)!",,,,Tamil perungayam. There is a saying in Kannada 'ಇಂಗು ತೆಂಗು ಇದ್ದರೆ ಮಂಗನೂ ಅಡಿಗೆ ಮಾಡತ್ತೆ'. This means even a monkey can cook if Asafoetida and coconut is available. Hing is must in Kannada and Marathi brahmin cuisine for sure.,,Asafetida; Resina Ferulae,0.0,,,阿魏,āwèi,Ferula Resin,,,,,,,yes,659,,,,,371345.0,हींग,hīng,,,,
inn,23.0,,,https://powo.science.kew.org/taxon/77178270-1,Wurfbainia aromatica,(Roxb.) Škorničk. & A.D.Poulsen,Amomum aromaticum Roxb.,,cardamoms,Bengal cardamom,"the smoked, brown fruits of Wurfbania aromatica, similar to tsaoko",,,vanwyk_2014_culinary,,,1.0,1.0,,,,,2,spice,culinary,,Plantae,fruit & seed,,,Bengal cardamom; Nepal cardamom; large cardamom,Bengal cardamom; Nepal cardamom; large cardamom,Bengal cardamom,,,,,,,,,,,N Ind; Bangl; Nepal; eastern Himalayas,,24.0,90.0,Dhaka,Asia,Vietnam?,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inn,52.0,,2,https://powo.science.kew.org/taxon/872166-1,Amomum subulatum,Roxb.,,,cardamoms,black cardamom,"the dark brown, smoked seed pods of a Himalayan plant",,,vanwyk_2014_culinary,,1.0,1.0,1.0,1.0,1.0,,,5,spice,culinary; medicinal,,Plantae,fruit & seed,https://en.wikipedia.org/wiki/Black_cardamom,,black cardamom; brown cardamom; greater cardamom; Indian cardamom; Indian black cardamom; Nepal cardamom; Nepaul cardamom; Nepalese cardamom; Bengal cardamom; big cardamom; hill cardamon; winged cardamom; fake cardamom; false cardamom; amomum in Classical texts,brown cardamom; greater cardamom; Indian cardamom; Nepal cardamom; Indian black cardamom; Bengal cardamom; big cardamom; hill cardamon; winged cardamom; fake cardamom; false cardamom,Nepaul cardamom; Bengal cardamom; greater cardamom; amomum in Classical texts,"Brown cardamom, Nepalese cardamom; False cardamom; Winged cardamom",,black cardamom,,kakola local name near Eastern Tibet,,,,,,Himalayas,,28.0,85.0,Kathmandu,Asia,Himalayas,brown,smoky,,,Roxburgh's Plants of the coast of Coromandel,III 277,roxburgh_1819_plants,https://www.biodiversitylibrary.org/item/9713#page/126/mode/1up,https://tropical.theferns.info/viewtropical.php?id=Amomum+subulatum,,,,black cardamom,,قاقلة,qāqulla,,,香豆蔻,xiāngdòukòu,fragrant-cardamom,嘎哥拉 *gāgēlā*,,fekete kardamom,black cardamom,,,荳蔻（黑色）,,,,,,,,,,,,,,,,,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200028341,,,,https://www.gbif.org/species/5301632,,https://eol.org/pages/1126561,,बड़ी इलाइची,baḍī ilāicī,,,,
inn,48.0,,,,Carum carvi,L.,,,,caraway,the seed-like fruits of an Eurasian herb,,,vanwyk_2014_culinary,1.0,1.0,1.0,1.0,1.0,1.0,,,6,spice,culinary,,Plantae,fruit,https://en.wikipedia.org/wiki/Caraway,https://www.britannica.com/plant/caraway,caraway (seeds),caraway,Caraway,,,,,,,,caraway; karawiya; geluzi,,caraway,Mediterranean; C. Europe; Eurasia,,45.0,69.0,East Europe,Eurasia,Denmark; Lebanon; The Netherlands; Poland,dark brown,"warm, sweet, anise-like",1,"breads, sausages, cheese; carminative",Köhler's Medizinal-Pflanzen,II 91,koehler_1887_koehler,https://www.biodiversitylibrary.org/item/10837#page/521/mode/1up,,caraway.n.01,,caraway.n.02,caraway,,كراويا,karāwiyā,,,葛縷子,gě​lǚ​zi,,,藏茴香,fűszerkömény ,spice-cumin,,,,,,,,Fructus Carvi,,,,,1675,,,,,,,,,,,,,,48032.0,,,,,,
inn,72.0,,1,https://powo.science.kew.org/taxon/796556-1,Elettaria cardamomum,(L.) Maton,Amomum cardamomum L.,,cardamoms,cardamom,the green seed pods of an Indian plant,,Bastard cardamom; Bengal cardamom; Cambodian cardamom; Cameroon cardamom; Ethiopian cardamom; Kepulaga; Madagascar cardamom; Nepaul cardamom,vanwyk_2014_culinary,1.0,1.0,1.0,1.0,1.0,1.0,1,,7,spice,culinary; medicinal,,Plantae,fruit & seed,https://en.wikipedia.org/wiki/Cardamom,https://www.britannica.com/plant/cardamom,"cardamom, -mon, -mum; green cardamom; true cardamom ",cardamom,Cardamom,,,,,,,,cardamom; amomum; hal; qaqulla; doukou,,true cardamom,"Kerala, S. India; southern Asia",,10.0,77.0,Kerala,Asia,Guatemala; India; Sri Lanka; Tanzania; Papua New Guinea,"green seed pods, brown seeds","pungent, eucalyptus-like",2,"desserts, coffees, curries",Köhler's Medizinal-Pflanzen,II 186,koehler_1887_koehler,https://www.biodiversitylibrary.org/item/10837#page/721/mode/1up,,cardamom.n.01,cardamom.n.02,,cardamom,true cardamom; green cardamom,هال,hāl,,هيل *hayl*,小豆蔻,xiǎodòukòu,little-bean-cardamom,綠豆蔻 [green-bean-cardamom],荳蔻,kardamom,,,,綠荳蔻,luk6 dau6 kau3,green-cardamom,,,Cardamomi Fructus,,?,,小豆蔻,xiǎo​dòu​kòu,Cardamom,,,,,,,,,,https://www.gbif.org/species/2759871,https://tropicos.org/name/34500572,https://eol.org/pages/1120064,105181.0,इलायची ,ilāychī,,,kapulaga seberang,هل سبز
inn,78.0,,,,Cinnamomum aromaticum,Nees,Cinnamomum cassia (L.) J.Presl.,et al.,cinnamon,cassia,the inner bark of Southeast Asian trees,cinnamon,Padang cinnamon; Saigon cinnamon,vanwyk_2014_culinary,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,8,spice,culinary; medicinal,,Plantae,bark; fruit,https://en.wikipedia.org/wiki/Cinnamomum_cassia,https://www.britannica.com/topic/cassia-spice,cassia bark; Chinese cinnamon; cassia cinnamon; Chinese cassia,cassia; Chinese cinnamon; Chinese cassia,cassia,"Cassia-Cinnamon, Indonesian and Chinese",,,,,,,cassia; salikha; rougui,,cassia tree,Southeast China,,23.0,108.0,Guangxi,Asia,Indonesia; China; Vietnam; Timor-Leste; etc.,reddish brown,"pungent, cinnamon-like",3,flavor; diarrhea,Köhler's Medizinal-Pflanzen,I 77,koehler_1887_koehler,https://www.biodiversitylibrary.org/item/10836#page/391/mode/1up,,cassia.n.03,,,cassia,Chinese cinnamon,سليخة,salīkha,peel; bark,,肉桂,ròuguì,flesh-cinnamon,,桂 guì can either refer to Cinnamomum species or to Osmanthus flowers,kasszia (fahéj),cassia (tree-bark),,,,,,,,Cortex Cassiae/Cinnamomi Cortex; Ramulus Cinnamomi,1.0,polyu-tcm,https://herbaltcm.sn.polyu.edu.hk/herbal/cassia-bark,肉桂,ròuguì,Cassia bark,Dried stem bark of Cinnamomum cassia Presl (Fam. Lauraceae),Interior-warming medicinal,"pungent, sweet; strongly hot","Liver, Heart, Spleen, Kidney","To tonify fire and assist yang, and lead the fire back to the kidney, dispel cold and relieve pain, and activate blood circulation and stimulate menstrual dischange",,,?,,https://www.gbif.org/species/3033982,https://tropicos.org/name/17805773,https://eol.org/pages/483593,119260.0,दालचीनी,dālchīnī,,दारचीनी,kayu manis,دارچین چینی
inn,17.0,,,https://powo.science.kew.org/taxon/797036-1,Hornstedtia costata,(Roxb.) K.Schum.,Amomum costatum (Roxb.) Benth. ex Baker,,cardamoms,Chinese black cardamom,"the dark seed pods of Hornstedtia costata, similar to tsaoko",,,vanwyk_2014_culinary,,,,1.0,,,,,1,spice,culinary,,Plantae,fruit & seed,,,Chinese black cardamom,Chinese black cardamom,,,,,,,,,,,,E As,,25.0,103.0,Yunnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inn,64.0,,,,Cinnamomum verum,J.Presl,Cinnamomum zeylanicum Blume,,cinnamon,cinnamon,the inner bark of the cinnamon tree (Cinnamomum zeylanicum) from Sri Lanka,cassia,Canela; Canella; Chinese cinnamon; Padang cinnamon: Saigon cinnamon,vanwyk_2014_culinary,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,7,spice,culinary; medicinal,,Plantae,bark; leaf,https://en.wikipedia.org/wiki/Cinnamon,https://www.britannica.com/plant/cinnamon,cinnamon; Ceylon cinnamon,cinnamon; Ceylon cinnamon,"Cinnamon, Ceylon cinnamon",,,,,,,Ceylon cinnamon,cinnamon; darsini; qirfa,,cinnamon tree,Sri Lanka; SW. India,,7.0,81.0,Sri Lanka,Asia,Sri Lanka; Seychelles; Madagascar; India,"warm yellowish-brown, cinnamon","sweet, fragrant, pungent",3,flavor; anti-microbial,Köhler's Medizinal-Pflanzen,I 78,koehler_1887_koehler,https://www.biodiversitylibrary.org/item/10836#page/393/mode/1up,,cinnamon.n.02,cinnamon.n.03,,cinnamon,,قرفة,qirfa,rind; bark,*dārsīnī* دارصيني,錫蘭肉桂,xīlánròuguì,Ceylon-flesh-cinnamon,,,fahéj,tree-bark,,,,,,,,Cortex Cinnamoni,,,,,,,,,,,,,,,,https://www.gbif.org/species/3033987,https://tropicos.org/name/17800682,https://eol.org/pages/490672,128608.0,दालचीनी,dālchīnī,?,दारचीनी darchini,kayu manis,دارچین 
