,skip,language,term,transliteration,group,id,iso,level,family,macroarea,country,lat,lon,source,is_duplicate
0,,Afrikaans,kaneel,,canela,afri1274,afr,language,Indo-European,Africa,BW MZ NA ZA ZM ZW,-22.0,30.0,glottolog,False
22,,Catalan,canella,,canela,stan1289,cat,language,Indo-European,Eurasia,AD ES FR IT,41.453,1.569,glottolog,False
128,,Anglo-Norman,cannelle,,canela,angl1258,xno,dialect,Indo-European,Eurasia,,51.0,-1.0,glottolog,False
48,,Scottish Gaelic,caineal,,canela,scot1245,gla,language,Indo-European,Eurasia,GB,56.7574,-5.24366,glottolog,False
106,,Maltese,kannella,,canela,malt1254,mlt,language,Afro-Asiatic,Eurasia,MT,36.40239267410995,13.896063492561694,glottolog,True
26,,Chavacano,kanela,,canela,chav1241,cbk,language,Indo-European,Papunesia,PH,7.435034,122.18849,glottolog,False
47,,Western Frisian,kaniel,,canela,west2354,fry,language,Indo-European,Eurasia,NL,53.143,5.86091,glottolog,False
102,,Plateau Malagasy,kanelina,,canela,plat1254,plt,language,Austronesian,Africa,MG,-19.5907,47.1211,glottolog,False
57,,Haitian,kannèl,,canela,hait1244,hat,language,Indo-European,North America,DO HT,18.795135,-72.136115,glottolog,False
98,,Luxemburgish,kanéil,,canela,luxe1243,,dialect,Indo-European,Eurasia,,49.68,6.15,glottolog,False
46,,French,cannelle,,canela,stan1290,fra,language,Indo-European,Eurasia,AD BE CA CH FR GF IT LU MC PM TF US,48.0,2.0,glottolog,False
32,,Corsican,cannella,,canela,cors1241,cos,language,Indo-European,Eurasia,FR IT,41.7,9.25537,glottolog,False
45,,Finnish,kaneli,,canela,finn1318,fin,language,Uralic,Eurasia,EE FI NO RU SE,64.7628,25.5577,glottolog,False
95,,Latvian,kanēlis,,canela,latv1249,lav,language,Indo-European,Eurasia,BY EE LT LV RU,56.826108,24.309118,glottolog,False
44,,Filipino,kanela,,canela,fili1244,fil,language,Austronesian,Papunesia,PH,12.265,123.464,glottolog,False
36,,Danish,kanel,,canela,dani1285,dan,language,Indo-European,Eurasia,DE DK FO GL,54.8655,9.36284,glottolog,False
43,,Faroese,kanel,,canela,faro1244,fao,language,Indo-European,Eurasia,DK FO,62.0732,-6.88497,glottolog,False
38,,Dutch,kaneel,,canela,dutc1256,nld,language,Indo-European,Eurasia,AW BE BQ BR CW DE GF GY NL SR SX,52.0,5.0,glottolog,False
129,,Norwegian,kanel,,canela,norw1258,nor,language,Indo-European,Eurasia,FI NO RU SE SJ,59.92,10.71,glottolog,False
79,,Kabuverdianu,kanéla,,canela,kabu1256,kea,language,Indo-European,Africa,CV,15.0586,-23.6148,glottolog,False
130,,Occitan,canèla,,canela,occi1239,oci,language,Indo-European,Eurasia,AD ES FR IT MC,44.1415,6.82979,glottolog,False
49,,Galician,canela,,canela,gali1258,glg,language,Indo-European,Eurasia,ES PT,42.2446,-7.5343,glottolog,False
1,,Northern Tosk Albanian,kanellë,,canela,tosk1239,als,language,Indo-European,Eurasia,AL GR MK,41.0,20.0,glottolog,False
181,,Waray (Philippines),kanéla,,canela,wara1300,war,language,Austronesian,Papunesia,PH,10.61156859480118,124.78998273426139,glottolog,True
179,,Venetian,canela,,canela,vene1258,vec,language,Indo-European,Eurasia,BR HR IT MX SI,45.503581,12.214167,glottolog,False
63,,Hiligaynon,kanéla,,canela,hili1240,hil,language,Austronesian,Papunesia,PH,10.4018,122.974,glottolog,False
156,,Tagalog,kanéla,,canela,taga1270,tgl,language,Austronesian,Papunesia,PH,14.06,121.747,glottolog,False
155,,Swedish,kanel,,canela,swed1254,swe,language,Indo-European,Eurasia,AX DK FI NO SE,59.800634,17.389526,glottolog,False
